	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
ATG7	393	407	395	534	317	447
ATG9A	68	61	57	86	65	62
ATIC	887	903	826	1748	1029	1357
ATL1	361	339	321	546	316	435
ATL2	744	751	642	829	424	608
ATL3	3454	2918	3043	5483	2781	4128
ATM	4400	4856	3450	4352	1545	3796
ATMIN	934	788	692	1212	705	761
ATN1	169	167	114	191	92	109
ATOX1	1007	1084	831	1539	982	995
ATP10D	4267	3639	3518	5459	2996	4472
ATP11A	208	185	185	307	187	263
ATP11B	1601	1487	1322	1628	662	1309
ATP11C	21876	17530	16153	12777	5829	11573
ATP13A3	4962	5137	4881	6416	3131	4846
ATP13A4	313	268	250	215	141	273
ATP13A5	646	580	532	451	307	352
ATP1A1	1008	1190	896	1486	1014	1073
ATP1A1-AS1	62	34	40	61	30	59
ATP1A2	552	257	341	204	101	160
ATP1B1	1389	1716	1382	1256	786	985
ATP1B2	3933	4231	3950	4087	2445	3532
ATP1B3	365	321	306	470	260	291
ATP2A2	1031	949	849	1371	901	1005
ATP2B1	5074	4144	3757	10019	3918	5802
ATP2B2	1110	1143	1063	644	315	552
ATP2B3	135	106	69	61	15	50
ATP2B4	2815	2960	2543	4571	2470	3201
ATP2C1	7211	5974	5493	5271	3281	4777
ATP5A1	52445	50544	50420	47815	29255	39763
ATP5B	5895	6124	4557	6200	4004	5129
ATP5C1	12535	11716	11632	15049	9384	11428
ATP5E	588	652	400	766	508	575
ATP5EP2	105	43	58	150	103	48
ATP5F1	7844	7392	6707	9537	5808	7304
ATP5G1	2664	2537	2376	3437	2656	2543
ATP5G2	5122	5785	4756	5887	3579	4640
ATP5G3	3600	3116	2573	3011	2040	2530
ATP5H	2964	3057	2701	3823	2627	3023
ATP5I	4057	4121	3392	4665	3033	3318
ATP5J	10583	9491	8897	12421	7482	9034
ATP5J2	1639	1709	1454	2219	1585	1630
ATP5L	12677	12852	11666	12155	7976	9841
ATP5O	12027	11761	10565	13126	8414	9977
ATP5S	846	636	666	928	588	637
ATP5SL	159	129	87	161	103	116
ATP6AP1	420	492	303	408	247	327
ATP6AP1L	409	453	408	380	191	335
ATP6AP2	5407	5396	4382	5495	3070	4182
ATP6V0A1	422	475	405	607	374	452
ATP6V0A2	456	413	381	713	418	582
ATP6V0A4	36	33	52	74	80	77
ATP6V0B	772	781	504	921	552	634
ATP6V0C	91	129	84	145	78	74
ATP6V0D1	985	776	541	1187	762	780
ATP6V0E1	3273	3313	2993	4524	2784	3371
ATP6V1A	17910	16595	17135	13963	9120	13802
ATP6V1B2	843	796	699	1265	746	942
ATP6V1C1	4933	5153	4357	8220	4523	6353
ATP6V1D	6420	6258	5889	9752	5530	7051
ATP6V1E1	3823	3881	3641	5406	3604	4175
ATP6V1E2	62	62	51	61	25	45
ATP6V1F	2059	2182	1245	2710	1690	1815
ATP6V1G1	18179	17550	17060	25452	14230	17675
ATP6V1H	558	524	454	698	403	565
ATP7A	2000	2429	2276	2477	1286	2297
ATP7B	149	144	118	209	103	141
ATP8A1	665	668	574	457	144	429
ATP8A2	69	48	38	82	41	37
ATP8B1	42	37	24	79	56	65
ATP8B2	40	38	29	75	31	55
ATP8B4	19	25	23	49	45	16
ATP9A	1169	1231	992	2273	1292	1545
ATP9B	72	74	45	104	62	53
ATPAF1	225	224	220	231	125	183
ATPAF2	51	47	28	48	27	39
ATPIF1	774	681	540	897	526	663
ATR	2799	2348	1904	4004	1493	3258
ATRAID	4755	5152	3853	4821	2800	3737
ATRIP	21	40	24	75	18	38
ATRN	866	1004	865	1261	753	980
ATRNL1	328	281	280	534	282	331
ATRX	15811	10838	8655	19890	6929	13534
ATXN1	475	448	430	677	364	499
ATXN10	947	944	834	1435	891	948
ATXN1L	303	257	255	392	218	284
ATXN2	849	810	709	986	591	801
ATXN2L	53	99	63	80	55	66
ATXN3	996	1136	904	1453	927	1244
ATXN7	786	786	726	817	402	683
ATXN7L1	251	270	236	244	143	207
ATXN7L3B	1658	1550	1483	1792	1135	1484
AUH	163	144	153	130	97	158
AUP1	520	423	264	626	448	460
AURKA	192	206	206	273	195	222
AURKAPS1	107	86	83	146	94	90
AUTS2	457	506	483	521	274	476
AVEN	37	39	43	87	35	71
AVIL	69	29	45	61	48	75
AVL9	1225	1087	1007	1544	798	1357
AXDND1	115	100	62	80	38	97
AXIN2	93	77	66	83	42	71
AXL	1337	1774	1320	4600	2417	3055
AZI2	2719	2630	2148	2830	1480	2257
AZIN1	7052	7384	6835	12363	7536	8839
B2M	2091	2102	1882	3426	1769	1990
B3GALNT1	595	488	453	795	532	475
B3GALNT2	1028	735	768	1361	703	909
B3GALT2	92	72	57	147	95	85
B3GALT5-AS1	80	73	52	76	43	87
B3GLCT	967	706	686	702	380	567
B3GNT2	249	201	207	345	173	188
B3GNT5	855	827	780	1243	639	773
B4GALT1	503	610	525	634	374	492
B4GALT3	340	336	267	519	319	415
B4GALT4	1729	1976	1845	2043	1258	2280
B4GALT5	191	174	179	429	200	249
B4GALT6	3351	2920	2231	5841	2402	4355
B4GAT1	368	377	254	310	188	252
B9D1	288	282	223	275	157	265
BAALC	44	56	47	209	149	110
BABAM1	72	91	55	98	76	73
BACE1	867	950	747	1260	748	944
BACE2	216	255	162	310	151	149
BACH1	2166	1934	1692	3145	1386	2212
BACH2	86	61	55	216	110	129
BAG1	310	231	213	343	178	207
BAG2	333	272	279	385	226	272
BAG3	88	81	93	140	98	117
BAG4	4255	3974	3892	6624	3300	4279
BAG5	3589	3676	3531	5891	3392	4031
BAHD1	91	84	63	107	57	84
BAIAP2	72	55	52	89	39	75
BAIAP2-AS1	120	105	64	106	59	93
BAIAP2L1	126	128	93	170	81	195
BAK1	37	49	21	62	20	51
BAMBI	114	92	85	153	88	116
BANCR	97	106	83	359	205	301
BANF1	2551	2685	2336	3419	2396	2800
BAP1	60	26	35	42	40	50
BARD1	1627	1203	1071	1775	807	1112
BASP1	336	339	282	619	329	371
BAX	33	18	26	35	45	36
BAZ1A	1063	944	859	1911	943	1258
BAZ1B	773	703	650	988	471	683
BAZ2A	250	329	269	274	171	228
BAZ2B	4767	4203	3249	6897	2280	4224
BBIP1	1091	971	1040	1393	750	977
BBOX1	12	28	11	259	78	84
BBOX1-AS1	7	7	5	243	79	113
BBS1	343	249	206	306	198	226
BBS10	714	632	572	872	430	776
BBS12	1454	1024	1084	1435	926	1287
BBS2	943	960	823	994	508	827
BBS4	10438	9142	9476	12599	7525	10852
BBS5	474	411	421	358	206	324
BBS7	1086	1015	899	1549	733	1111
BBS9	1170	1114	872	1118	620	949
BBX	5692	6064	5760	8195	4017	6976
BCAP29	1883	1751	1729	2791	1446	2127
BCAP31	5461	5361	4644	7363	4792	5878
BCAR3	229	207	232	514	286	271
BCAS1	77	68	80	104	117	121
BCAS2	5285	4855	4581	7518	4214	5281
BCAS3	90	84	59	93	67	65
BCAS4	102	75	69	82	37	37
BCAT1	483	543	389	1351	374	466
BCAT2	44	33	28	66	27	48
BCCIP	3532	3452	3393	5351	3237	4021
BCDIN3D	280	286	240	301	235	216
BCDIN3D-AS1	27	56	35	60	19	36
BCHE	348	312	333	294	173	256
BCKDHA	153	192	93	170	109	182
BCKDHB	752	659	559	834	411	623
BCKDK	44	40	21	51	44	48
BCL10	694	664	618	1251	591	784
BCL11A	248	223	233	570	270	266
BCL11B	388	275	310	228	182	239
BCL2	91	91	110	85	47	75
BCL2L1	137	140	90	177	110	201
BCL2L11	169	162	139	195	120	141
BCL2L13	742	690	672	1137	682	800
BCL2L2	118	109	154	131	116	125
BCL6	206	308	155	365	201	280
BCL7A	37	45	22	50	21	33
BCL7B	85	77	50	93	48	78
BCL9	114	192	141	171	108	132
BCL9L	51	68	56	77	48	66
BCLAF1	15075	12926	12171	21540	9479	15206
BCO1	790	1201	914	2273	1155	1492
BCO2	452	306	304	320	187	256
BCOR	1224	1386	1002	1573	853	1265
BCORP1	37	43	39	35	7	39
BCR	42	50	25	67	36	57
BCS1L	299	299	235	401	274	303
BDH2	4834	4950	4595	4705	2658	3744
BDNF	123	85	105	209	74	99
BDNF-AS	61	66	89	99	39	61
BDP1	44	44	20	35	7	30
BECN1	233	268	219	368	208	236
BEND3	100	60	66	109	82	86
BEND3P3	43	46	15	33	39	33
BEND4	43	22	51	114	49	37
BEND7	145	109	82	195	105	135
BET1	3853	4093	4053	5454	2945	4260
BET1L	271	311	251	289	208	260
BEX1	150	187	123	292	160	180
BEX2	671	673	497	699	411	518
BEX4	672	603	469	806	488	668
BEX5	165	148	116	154	101	107
BHLHB9	524	543	402	749	390	454
BHLHE40	995	1570	1284	2040	991	1569
BHLHE41	139	160	207	287	146	237
BICC1	1016	846	843	1621	784	905
BICD1	302	361	275	728	357	487
BICD2	365	373	323	686	327	465
BID	712	826	739	896	527	754
BIN3	147	111	72	196	118	147
BIRC2	3601	3297	3049	4840	2292	3456
BIRC3	36	14	44	115	55	55
BIRC5	124	107	95	156	106	120
BIRC6	5874	5730	5155	6986	2999	5452
BIRC6-AS2	94	88	77	92	48	93
BIVM	361	278	276	375	167	273
BLACAT1	18	31	37	152	93	107
BLCAP	648	624	501	791	424	502
BLID	28	13	9	84	26	32
BLM	167	149	140	500	225	321
BLMH	434	383	387	518	311	423
BLNK	778	614	606	314	266	413
BLOC1S1	398	338	335	373	237	309
BLOC1S2	2127	1934	1650	4118	2297	2693
BLOC1S3	202	191	183	230	127	152
BLOC1S4	58	59	38	56	32	31
BLOC1S6	2258	2228	1964	3378	1563	2278
BLVRA	801	834	718	974	514	799
BLVRB	156	133	64	106	68	108
BLZF1	2102	2173	1896	3437	1514	2200
BMF	159	127	125	112	78	88
BMP2	218	271	273	239	116	112
BMP2K	241	214	179	420	145	212
BMP3	116	115	70	162	73	68
BMP4	384	414	229	400	242	451
BMP5	70	53	38	293	141	126
BMP7	1270	1266	1065	1258	857	1090
BMPR1A	170	126	172	199	101	161
BMPR1B	250	284	292	629	218	418
BMPR2	4060	3218	3161	6018	2354	3934
BMS1	2301	2212	2133	3691	2319	3050
BMS1P20	331	421	302	569	331	364
BMS1P4	189	194	144	169	121	168
BMS1P5	127	128	132	160	93	152
BMS1P6	118	98	114	155	55	86
BNC2	18	19	4	55	45	15
BNIP1	498	530	450	677	442	579
BNIP2	335	280	311	498	224	377
BNIP3	1550	2172	1455	2108	962	1691
BNIP3L	31296	36085	32617	47261	22751	36163
BOC	18	30	16	63	21	35
BOD1	278	247	252	380	222	313
BOD1L1	2359	1849	1404	2633	872	1831
BOLA3	588	508	467	970	566	663
BOLA3-AS1	373	365	288	445	235	348
BORA	356	352	336	441	207	329
BPGM	1531	1491	1285	2989	1840	1832
BPHL	225	192	153	290	178	241
BPNT1	445	424	450	625	348	473
BPTF	4658	4522	3679	5712	2312	4446
BRAF	355	251	217	401	163	296
BRAP	211	217	129	248	119	189
BRCA1	375	272	402	390	190	414
BRCA2	644	392	398	476	223	298
BRCAT54	315	274	239	307	107	257
BRCC3	1741	1386	1323	2061	1176	1679
BRD1	93	94	65	123	40	84
BRD3	107	118	80	143	98	110
BRD4	192	232	151	236	154	179
BRD7	747	718	690	931	522	623
BRD7P3	57	66	48	65	29	50
BRD8	4082	3507	3483	4447	2693	3609
BRD9	59	62	49	92	59	93
BRE	2106	2154	1897	3446	2093	2719
BRF2	42	41	24	29	29	53
BRI3	73	103	73	89	62	76
BRINP1	124	62	52	76	49	30
BRIP1	104	66	43	200	145	169
BRIX1	1953	1476	1263	2637	1465	1753
BRK1	5687	6109	5188	8435	5183	6497
BRMS1	43	35	25	62	33	66
BRMS1L	1211	1067	819	1411	750	1328
BROX	7919	7556	6958	11342	4851	8284
BRPF1	15	32	24	31	25	45
BRPF3	167	134	88	181	144	141
BRWD1	7626	8401	6432	7531	2623	6387
BRWD3	921	839	745	1161	402	846
BSDC1	391	469	359	468	300	366
BSG	1098	1036	510	1014	595	873
BSN	49	34	42	55	40	27
BST2	69	100	56	89	48	70
BTAF1	3489	3469	3122	3814	1812	3181
BTBD1	641	575	621	1134	555	767
BTBD10	992	880	710	2271	1210	1286
BTBD11	770	746	596	630	393	566
BTBD3	2065	1856	1707	2284	1300	1772
BTBD6	53	38	51	72	39	45
BTBD8	120	88	68	42	24	103
BTBD9	94	92	65	81	47	72
BTC	468	341	373	294	110	350
BTD	649	716	666	725	386	541
BTF3	5806	6536	5790	7059	4462	5563
BTF3L4	5159	4750	4595	7477	4679	5812
BTG1	854	1017	852	1377	729	968
BTG2	416	488	367	692	389	621
BTG3	644	622	499	1066	610	828
BTN2A1	725	806	664	888	592	779
BTN2A2	750	838	762	766	501	612
BTN2A3P	59	55	47	54	22	32
BTN3A1	569	636	610	387	247	371
BTN3A2	483	551	525	464	172	374
BTN3A3	349	355	344	399	199	307
BTRC	1545	1350	1236	2177	1403	1566
BUB1	477	424	428	516	406	441
BUB1B	5641	3822	4211	1664	1354	2249
BUB3	6534	6039	6218	9753	5274	6613
BUD13	178	208	139	205	130	170
BUD31	834	762	560	1212	707	792
BVES	223	242	238	242	161	197
BYSL	64	47	39	127	52	80
BZW1	9022	8241	7574	17906	10245	12953
BZW2	2189	2232	2354	3734	2208	2349
C10orf107	62	80	74	59	31	47
C10orf12	205	210	189	337	180	313
C10orf126	134	120	99	144	72	126
C10orf2	83	71	91	184	62	95
C10orf25	126	70	103	108	70	127
C10orf32	2311	1731	1794	2375	1332	1699
C10orf67	106	61	60	145	82	113
C10orf76	106	130	86	178	134	148
C10orf88	188	167	147	271	86	173
C11orf1	519	616	511	721	375	521
C11orf30	1471	1557	1208	1507	942	1594
C11orf31	104	106	68	159	116	116
C11orf49	565	542	440	642	437	463
C11orf54	5513	4766	5265	4151	2524	3737
C11orf57	989	845	814	1210	682	958
C11orf58	16182	14691	14143	24097	13346	16998
C11orf63	530	474	399	439	231	411
C11orf65	45	57	49	47	31	32
C11orf68	64	46	52	72	41	51
C11orf70	635	475	472	571	344	624
C11orf71	50	66	40	37	19	48
C11orf73	1691	1594	1330	2862	1579	1834
C11orf74	2087	1698	1700	2035	1137	1605
C11orf80	77	76	85	72	64	77
C11orf87	118	36	86	55	32	16
C11orf88	1836	1977	1786	1847	892	1503
C11orf95	130	115	108	194	125	132
C12orf10	206	177	157	235	154	178
C12orf29	1445	1358	1303	2156	1008	1401
C12orf4	1165	925	926	2228	1121	1336
C12orf43	113	115	85	145	98	121
C12orf45	263	268	254	501	257	291
C12orf49	257	215	172	460	251	294
C12orf57	407	335	209	396	220	324
C12orf60	211	207	174	220	115	205
C12orf65	926	1051	748	1075	605	787
C12orf66	51	58	42	86	39	80
C12orf73	517	575	518	713	394	509
C12orf75	579	578	518	494	241	423
C12orf76	284	282	244	295	156	223
C14orf1	2679	3051	2442	4265	2653	3394
C14orf119	2760	2480	2373	4460	2702	3077
C14orf132	492	549	354	1058	603	616
C14orf159	996	951	691	978	641	758
C14orf166	2781	2519	2325	3859	2331	2818
C14orf2	6456	6541	5622	6741	4591	5482
C14orf28	283	266	256	364	175	319
C14orf37	329	368	227	524	244	338
C14orf39	286	167	207	194	68	218
C14orf79	83	69	35	74	38	64
C14orf93	58	49	24	40	25	36
C15orf26	900	756	733	794	662	887
C15orf40	565	533	494	587	391	472
C15orf41	813	695	663	913	399	624
C15orf57	760	710	688	1104	658	809
C15orf61	37	53	42	32	15	16
C15orf65	297	277	225	326	138	209
C16orf46	259	262	218	314	143	195
C16orf52	232	120	202	303	151	162
C16orf58	70	69	49	89	41	46
C16orf62	2554	2679	2123	4604	3011	3442
C16orf70	180	198	204	228	126	150
C16orf72	489	501	482	961	524	528
C16orf87	923	826	826	1374	827	933
C17orf104	125	165	128	204	77	141
C17orf51	25	24	49	21	28	43
C17orf58	101	101	90	80	75	89
C17orf75	2685	2267	2224	3134	1942	2597
C17orf80	1885	1892	1786	2052	1234	1734
C17orf85	509	436	356	579	312	399
C17orf89	43	38	31	59	43	51
C18orf21	176	155	127	259	166	184
C18orf25	1918	1954	1700	2158	1206	1801
C18orf54	278	239	195	397	142	312
C18orf8	93	89	44	129	74	87
C19orf12	81	97	56	126	47	78
C19orf18	73	54	50	48	33	39
C19orf43	53	76	71	64	45	57
C19orf48	44	57	15	74	37	61
C19orf53	1629	1525	1260	2176	1395	1550
C19orf54	73	92	56	73	38	58
C1D	1310	1284	1249	1538	772	1157
C1GALT1	1527	1287	1096	2282	989	1642
C1GALT1C1	1875	1742	1715	2248	1396	1836
C1QBP	185	183	106	277	169	176
C1QTNF3	44	56	54	77	24	43
C1QTNF6	50	39	28	43	30	30
C1R	86	99	40	71	40	50
C1S	409	423	317	368	182	241
C1orf109	309	308	227	401	235	300
C1orf110	747	444	432	919	406	654
C1orf112	436	367	378	703	365	459
C1orf115	140	161	122	87	64	106
C1orf122	117	121	97	123	77	111
C1orf123	628	621	554	683	465	617
C1orf131	839	688	797	1347	768	891
C1orf145	212	197	164	168	79	115
C1orf158	276	186	174	152	108	162
C1orf162	41	56	65	33	20	42
C1orf168	2485	1920	1649	1849	787	1757
C1orf174	661	614	576	780	482	544
C1orf194	2020	1611	1541	1349	933	1151
C1orf198	286	234	188	496	292	382
C1orf21	80	75	74	109	65	59
C1orf226	101	101	87	118	76	71
C1orf228	50	50	36	55	33	43
C1orf27	3840	3711	3505	5404	2184	4003
C1orf43	834	908	798	1032	674	790
C1orf50	31	43	58	35	26	31
C1orf52	379	360	326	462	263	340
C1orf53	69	49	56	40	18	52
C1orf54	537	504	409	862	457	529
C1orf56	120	112	116	101	87	93
C1orf61	824	672	608	1025	538	686
C1orf74	163	119	117	211	141	146
C20orf194	574	645	526	677	390	494
C20orf196	122	137	97	143	120	150
C20orf96	269	218	170	210	112	176
C21orf59	382	355	320	415	279	376
C21orf62	36	11	14	97	13	63
C21orf91	2477	1925	1914	2424	1106	1985
C22orf23	94	96	64	68	53	42
C22orf29	235	240	188	244	187	220
C22orf39	237	197	232	238	172	225
C22orf46	54	28	32	62	35	24
C2CD2	334	358	266	288	160	236
C2CD3	532	464	374	969	533	725
C2CD4A	11	0	6	89	58	32
C2CD5	1950	1737	1460	2234	983	1578
C2orf15	271	186	177	205	102	162
C2orf16	40	23	12	47	35	71
C2orf42	328	244	267	437	254	323
C2orf44	1553	1496	1592	1538	1120	1378
C2orf47	114	113	71	146	82	94
C2orf49	901	1014	822	1115	691	979
C2orf66	134	89	91	138	44	107
C2orf68	2052	2017	2015	2589	1418	2093
C2orf69	920	704	686	991	450	816
C2orf72	12	23	19	37	36	16
C2orf73	448	356	397	175	91	186
C2orf74	343	362	342	467	240	273
C2orf76	342	391	323	437	261	306
C2orf80	31	40	39	76	48	24
C2orf88	175	118	121	128	43	133
C3AR1	6	2	4	63	26	6
C3orf14	890	805	752	1448	802	970
C3orf17	1426	1365	1184	1626	804	1320
C3orf33	321	276	301	313	222	239
C3orf35	177	115	115	116	67	92
C3orf38	1998	1664	1552	2766	1585	2060
C3orf52	64	79	68	633	316	299
C3orf58	2060	1999	1739	2491	1255	1684
C3orf62	358	302	283	418	232	323
C3orf70	609	393	501	506	341	573
C4orf19	434	245	224	220	147	185
C4orf22	288	233	232	275	123	258
C4orf26	10	4	4	73	38	5
C4orf27	1013	884	771	1252	693	994
C4orf29	264	216	216	240	131	213
C4orf3	6095	6683	4912	8269	4292	5963
C4orf33	632	491	493	560	296	442
C4orf46	682	654	662	1170	544	669
C4orf47	1435	1445	1481	1122	657	1234
C5	206	233	212	235	115	229
C5AR1	63	65	38	58	53	71
C5orf15	5360	4590	3955	6123	3052	4692
C5orf22	3294	3176	3134	4860	3023	3953
C5orf24	2486	1926	2043	3604	2024	2303
C5orf28	2006	1624	1900	2842	1449	2241
C5orf30	58	47	28	79	29	43
C5orf34	245	228	222	313	177	257
C5orf42	1913	1723	1458	2148	788	1508
C5orf45	64	46	33	63	47	52
C5orf49	198	152	147	101	87	107
C5orf51	3635	3582	3351	4926	2916	3766
C5orf66	77	56	60	90	64	65
C6orf106	374	424	379	526	365	422
C6orf118	441	319	318	257	141	270
C6orf120	376	327	332	387	207	294
C6orf141	10	21	11	49	37	18
C6orf163	130	127	103	128	42	110
C6orf165	1930	1334	1283	1550	1063	1636
C6orf201	40	66	44	39	26	23
C6orf203	783	670	665	733	472	615
C6orf48	25	21	5	61	2	10
C6orf52	249	235	179	265	166	196
C6orf58	416	294	403	181	118	223
C6orf62	35511	32076	32121	53134	27821	33813
C6orf89	687	748	639	967	669	816
C7	28	59	28	67	44	54
C7orf25	363	346	325	501	276	369
C7orf31	54	35	41	66	40	43
C7orf49	83	97	42	75	66	88
C7orf50	47	43	28	69	38	48
C7orf55	224	166	158	203	110	131
C7orf57	316	372	318	305	146	298
C7orf60	585	384	362	593	342	519
C7orf73	9307	8755	7924	9938	6070	8144
C8orf22	124	167	133	51	8	69
C8orf33	876	953	866	1298	797	961
C8orf34	215	157	161	245	117	259
C8orf37	2856	2757	2843	2616	1562	2178
C8orf4	50	76	62	434	226	166
C8orf44	121	132	119	171	107	150
C8orf46	30	21	21	125	94	92
C8orf48	397	337	330	468	236	398
C8orf58	33	44	31	46	28	23
C8orf59	1243	1382	1064	1697	1042	1278
C8orf76	51	60	33	72	33	50
C8orf87	48	23	24	25	9	27
C8orf88	73	73	65	107	48	108
C9orf116	75	66	58	66	42	62
C9orf117	73	65	66	45	23	35
C9orf156	128	139	104	191	117	114
C9orf171	62	45	33	50	40	46
C9orf24	55	28	40	24	22	42
C9orf3	145	132	118	283	184	221
C9orf40	80	108	93	83	45	54
C9orf41-AS1	25	26	21	16	9	44
C9orf72	6772	7521	6899	6765	3109	5297
C9orf78	2566	2581	2488	3498	2271	2736
C9orf84	159	160	109	172	57	141
C9orf85	336	275	297	599	342	393
C9orf9	125	149	106	128	67	101
C9orf91	123	102	138	211	111	112
CA10	54	69	67	79	54	46
CA11	45	53	40	48	23	21
CA12	1524	1619	1514	4986	2906	3253
CA13	224	170	167	315	188	275
CA14	11218	11491	10830	5519	3719	5923
CA2	43417	32082	32881	17911	10516	18862
CA3	142	248	234	134	59	173
CA4	118	122	96	140	93	140
CA5B	229	313	209	222	144	258
CA5BP1	73	64	69	73	47	69
CAAP1	1254	1074	1121	1317	683	996
CAB39	1424	1237	1130	2883	1492	1780
CAB39L	841	703	600	689	439	641
CABIN1	120	179	110	137	98	123
CABLES1	70	61	68	113	57	103
CABLES2	80	83	79	95	65	69
CABYR	124	174	99	206	164	191
CACHD1	3495	2868	2938	3545	1926	2575
CACNA1C	158	107	125	161	86	110
CACNA1E	115	63	102	125	83	81
CACNA2D1	889	855	855	1166	523	942
CACNA2D3	409	368	314	146	78	120
CACNA2D4	43	65	44	10	8	8
CACNB2	1240	1205	1040	1044	396	932
CACNB4	813	719	554	456	193	444
CACUL1	7289	6820	6054	9185	5343	6547
CACYBP	4352	3389	3583	4080	2680	3608
CAD	60	41	35	98	48	57
CADM1	1738	1636	1609	1737	930	1265
CADM2	321	225	167	660	204	224
CADM4	31	40	19	62	43	50
CADPS	701	695	604	2206	1007	1145
CADPS2	1130	909	889	912	517	847
CALB1	2659	2803	1835	8041	3183	4305
CALB2	7	10	2	69	31	4
CALCB	126	108	63	254	114	137
CALCOCO1	204	281	171	249	187	187
CALCOCO2	2623	2714	2553	3175	2092	2697
CALCRL	57	20	64	76	41	2
CALD1	1208	1561	1105	7630	3154	3833
CALM1	10644	9372	9544	9672	6283	8036
CALM2	42488	37764	37137	68043	38073	43721
CALM3	548	491	417	739	482	515
CALML4	1368	1132	1080	1451	677	845
CALN1	142	147	118	68	41	89
CALR	768	886	513	990	623	793
CALU	27058	30692	27368	55999	30198	33908
CAMK1D	923	964	923	746	503	758
CAMK2D	8538	7674	6909	13172	6348	9136
CAMK2G	493	402	366	535	289	358
CAMK2N1	197	232	208	432	265	317
CAMK4	226	259	204	125	36	107
CAMKK2	162	173	112	260	199	215
CAMKMT	140	118	108	114	80	131
CAMLG	378	352	320	376	192	242
CAMSAP1	345	321	252	484	311	364
CAMSAP2	2545	1997	2006	3362	1440	2360
CAMTA1	1841	1752	1477	2600	1570	1563
CAND1	4803	4326	4277	6783	3530	4903
CAND2	68	61	56	62	38	45
CANT1	41	41	42	65	45	38
CANX	15483	17198	14691	22154	12779	17305
CAP1	6703	6980	5143	18910	10177	9860
CAP2	1499	1377	1220	3479	2006	2427
CAPN1	51	22	14	47	19	32
CAPN10-AS1	69	101	50	89	56	81
CAPN2	1440	1818	1331	4815	2485	2976
CAPN3	62	46	35	43	13	40
CAPN7	888	869	707	848	432	739
CAPNS1	636	569	415	843	551	586
CAPRIN1	1829	1574	1434	2805	1395	1710
CAPRIN2	962	949	910	997	457	684
CAPS2	2332	2042	1563	1677	558	1507
CAPSL	3361	2377	2254	1759	1117	1639
CAPZA1	14672	13543	12691	25588	12954	16466
CAPZA2	21772	19006	18680	30365	15786	21530
CAPZB	470	461	379	812	501	588
CARD8	1156	1091	1020	1468	756	1201
CARD8-AS1	69	54	62	114	41	69
CARF	538	457	443	477	213	406
CARHSP1	165	129	111	242	133	130
CARKD	69	67	54	67	44	55
CARNMT1	135	140	77	214	83	150
CASC1	2071	1747	1689	1492	795	1614
CASC15	166	204	185	498	246	294
CASC2	423	365	270	356	157	311
CASC3	1322	1575	1233	1714	958	1316
CASC4	4124	3321	3243	4956	2497	3814
CASC5	207	198	129	158	90	133
CASD1	1131	806	770	1257	623	895
CASK	1102	994	991	1407	871	948
CASP2	1220	969	998	1920	1119	1105
CASP3	1508	1490	1306	2825	1465	1758
CASP6	375	282	251	493	360	312
CASP7	631	659	627	760	457	561
CASP8	84	56	54	328	139	169
CASP8AP2	1156	1037	785	1842	612	1048
CASP9	96	83	55	81	27	67
CASQ1	105	69	106	68	30	18
CAST	6098	5812	5322	8047	4536	6806
CASZ1	70	84	72	48	22	46
CATSPER2	105	117	100	86	59	89
CATSPER2P1	44	45	31	24	17	21
CAV1	19	129	83	642	214	210
CAV2	11	19	31	129	49	24
CBFA2T2	260	265	195	336	147	238
CBFB	1695	1801	1461	1845	928	1437
CBL	843	747	696	1062	737	866
CBLB	1049	1074	784	1191	549	1014
CBLL1	4386	4272	4317	3531	2412	3628
CBR1	104	106	78	98	63	81
CBR4	3459	3205	2880	3957	2006	3007
CBWD1	1214	1035	1208	1676	873	1150
CBWD2	1103	877	828	1513	869	1130
CBWD3	109	19	55	152	13	36
CBWD5	246	232	185	453	167	309
CBWD6	66	58	105	82	66	74
CBX1	386	430	303	672	392	628
CBX3	5489	4936	4828	7599	3783	5571
CBX5	9198	9025	8185	8596	5706	7586
CBX6	450	332	307	455	257	344
CBY1	2013	1964	1775	2244	1644	1866
CC2D1B	71	73	65	107	80	100
CC2D2A	1526	1471	1139	1452	831	1125
CCAR1	4416	4034	3403	6571	3129	4565
CCAR2	58	62	51	76	53	72
CCBL1	156	157	79	182	117	163
CCBL2	820	904	727	1244	577	928
CCDC102B	115	114	104	373	141	187
CCDC108	329	335	287	373	208	309
CCDC109B	48	43	49	141	76	88
CCDC110	130	130	137	112	83	142
CCDC112	257	235	209	533	183	278
CCDC113	1412	1450	1313	1570	1002	1516
CCDC115	100	163	112	121	75	83
CCDC117	702	696	615	971	574	683
CCDC12	78	52	42	88	63	75
CCDC121	725	639	761	481	259	601
CCDC126	1367	1198	1078	2381	1143	1242
CCDC127	729	713	666	846	479	682
CCDC13	214	238	195	208	160	183
CCDC136	70	60	52	109	48	61
CCDC138	2016	1522	1771	2126	981	1714
CCDC14	4668	3734	3562	5208	2032	3871
CCDC141	596	315	311	181	82	172
CCDC142	54	34	44	68	28	49
CCDC144CP	20	47	34	89	16	44
CCDC144NL	37	53	39	42	23	45
CCDC144NL-AS1	330	302	207	613	284	370
CCDC146	2171	1291	1216	1483	687	1351
CCDC148	1025	840	715	682	324	649
CCDC149	62	78	64	152	114	116
